Fault width [mm],Motor load [hp],Shaft speed [rpm],Filename IR,Filename ball,Filename outer centre,Filename outer orthogonal,Filename outer opposite
0.18,0,1797,105,118,130,144,156
0.18,1,1772,106,119,131,145,158
0.18,2,1750,107,120,132,146,159
0.18,3,1730,108,121,133,147,160
0.36,0,1797,169,185,197,0,0
0.36,1,1772,170,186,198,0,0
0.36,2,1750,171,187,199,0,0
0.36,3,1730,172,188,200,0,0
0.53,0,1797,209,222,234,246,258
0.53,1,1772,210,223,235,247,259
0.53,2,1750,211,224,236,248,260
0.53,3,1730,212,225,237,249,261
0.71,0,1797,3001,3005,0,0,0
0.71,1,1772,3002,3006,0,0,0
0.71,2,1750,3003,3007,0,0,0
0.71,3,1730,3004,3008,0,0,0
